number,address,description 
1004652,7502 20TH AVE NE,inspection shows bush on corner of property overgrown onto sidewalk.violation of weeds ordinance.
1004651,5434 23RD AVE SW,Violation found: grading more than 25 cubic yards and constructing a new retaining wall in a Steep Slope and Potential Slide ECA (Environmentally Critical Area) requires a permit from DPD.
1004650,5415 BAKER AVE NW,Application for a Tenant Relocation License. Total units: 2; total units occupied: 2. Demolition.
1004649,4801 25TH AVE SW,Site work including grading being done for the preparation of a Geotechnical Study required by the Department of Planning and Development (DPD) for permit application. All activities for this study have been completed.
1004648,1517 VALENTINE PL S,Single Family Structure
1004647,1256 S KING ST,Single family structure
1004646,14336 RIVIERA PL NE,MUST REVISE PERMIT #748202 TO INCLUDE STRUCTURAL WORK ON ROOF
1004645,830 LAKESIDE AVE S,Violation of the Seattle Building Code found: work at rear of house requires a permit. Stop Work Order posted 3/2/05.
1004644,7509 24TH AVE NE,Inspection shows a large commercial cargo container in the rear/side yard. No car in front yard at time of inspection. Land Use Code violation.
1004643,7017 16TH AVE SW,ii 7/14/04 with owner. Photos of carport conversion & expansion to habitable space without a permit.
1004642,6515 15TH AVE NE,Lack of approved power source.
1004641,6900 24TH AVE SW,Application for Tenant Relocation License.  Total units: 1; total units occupied: 1. Demolition.
1004640,5203 BROOKLYN AVE NE,Application for Tenant Relocation License
1004639,1500 18TH AVE E,"Vegetation, shrubs, bushes are growing out into the sidewalk/public right of way"
1004638,5040 22ND AVE NE,inspection shows housing code citation violations.
1004637,9360 54TH AVE S,restore off street parking spaces
1004636,211 16TH AVE,"Discarded junk in rear,side yards and the front porch."
1004635,1513 S MASSACHUSETTS ST,VB open with junk storage.
1004634,7233 S TAFT ST,Inoperable vehicle stored in driveway.
1004633,7233 S TAFT ST,"Vacant house on cribbing for 1-2 years. See bldg code case 1004426. Expired bldg permit # 722787 to relocate house, but checked with Dan Richardson and there has been no activity here or at new location for a long time."
1004632,8312 WABASH AVE S,illegal use
1004631,8712 12TH AVE NW,REMOVE STOCKPILE OF EARTH MATERIAL OR APPLY FOR A GRADING PERMIT
1004630,4844 DELRIDGE WAY SW,Violation of the Land Use Code.
1004629,2512 E UNION ST,"Natural gas service has been terminated.  Owners responsiblity to pay bill.  No heat, no hot water."
1004628,4220 LINDEN AVE N,observed zoning violations
1004627,8103 GREENWOOD AVE N,OBSERVED VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE AND THE LAND USE AND ZONING CODE.
1004626,8103 GREENWOOD AVE N,OBSERVED VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE AND THE LAND USE AND ZONING CODE.
1004625,8103 GREENWOOD AVE N,OBSERVED VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE AND THE LAND USE AND ZONING CODE.
1004624,4020 NE 92ND ST,RETAINING WALL REQUIRES BUILDING PERMIT
1004623,5001 37TH AVE S,Observed land use code violation.
1004622,8325 22ND AVE NW,"OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (SCRAP WOOD, TARPS, AND AUTO TIRES, IN DRIVEWAY AND FRONT AND REAR YARDS). TOOK PHOTOS."
1004621,5035 19TH AVE NE,Inspection shows 5 vehicles in alley side of structure. Land use violation.
1004620,1728 SUMMIT AVE,Tenant Relocation Assistance License Application
1004619,5406 35TH AVE SW,SIGN NEEDS PERMIT --IT IS TOO LARGE FOR ZONE
1004618,804 NW 87TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (JUNK STORAGE IN YARDS)
1004617,603 NW 81ST ST,NEW DECK/PORCH REQUIRES PERMIT
1004616,8701 29TH AVE NW,NEW BATHROOMS UPSTAIRS AND IN GARAGE NEED PERMITS
1004615,1610 6TH AVE W,ROOF DECK ON GARAGE NEEDS PERMIT
1004614,1610 6TH AVE W,ROOF DECK ON GARAGE NEEDS PERMIT
1004613,1700 N 45TH ST,observed zoning violation
1004612,8560 GREENWOOD AVE N,TENANT SPACE HAS BEEN ALTERED FROM PERMITTED CONFIGURATION--EXIT PATH CHANGED-- NEEDS TI PERMIT
1004611,2822 BOYER AVE E,Remodeling interior of floating home without a shoreline exemption or a permit.
1004610,4225 AURORA AVE N,observed vegetation violation
1004609,3717 NE 55TH ST,RETAINING WALL HAS BEGUN TO FAIL AND IS ENDANGERING THE PUBLIC RIGHT OF WAY
1004608,3434 BEACON AVE S,Observed hbmc violation.
1004607,317 LAKESIDE AVE S,7 unit building
1004606,2723 W JAMESON ST,Application for Tenant Relocation License
1004605,8320 WABASH AVE S,junk storage
1004604,7737 16TH AVE SW,On 2/22/05 Photos & talked with occupant & gave a written warning to remove all outdoor junk storage by 3/15/05.
1004603,8859 13TH AVE SW,"photos & warning sent re: outdoor junk & parking issues, W due 3/20/05"
1004602,5408 20TH AVE NE,zoning junk storage violation: bricks stick/branches scrap wood on norht side of house.
1004601,9021 36TH AVE SW,"veg o/g on sidewalk. Warning sent 3/1, due 3/20/05."
1004600,1624 SW HOLDEN ST,Violation of the Seattle Building Code found: building a garage in the rear yard requires a permit from DPD. Stop Work Order posted 2/28/05.
1004599,5402 20TH AVE NE,"Junk storage violation:scrap lumber, dead Xmas tree in front yard."
1004598,744 N 105TH ST,observed zoning violation
1004597,1501 PIKE PL,Web camera on Pike Place Market Fish sign at 86 Pike St received approval from the Seattle Hearing Examiner on 7/14/05.
1004596,9505 3RD AVE NW,"Confirmed w/owner Dan Chou, sewer drain obstruction spilling out to the ground."
1004595,6310 NE 74TH ST,VACANT AND OPEN OLD NAVY COMMISSARY BLDG IN MAGNUSON PARK
1004594,3907 SW 102ND ST,"inspection 2/25/05: inop blue sedan & other junk storage; blue sedan owned by prop owner, but she may not live at this address. Warning sent 2/28, due 3/15."
1004593,3017 SW ORLEANS ST,Violation Of Land Use Code.
1004592,3015 SW ORLEANS ST,Violation of Land Use Code.
1004591,9521 31ST AVE NW,MET WITH JIM JARVIS (OWNER) AND BILL AMES ON SITE--TWO TREES CUT TOTALLING SURFACE AREA OF 6 INCH DIAMETER TREE--TREE CUTTING PERMIT NEEDED
1004590,3802 19TH AVE SW,Violation of Land Use Code.
1004589,2511 NE 125TH ST,Application for a Tenant Relocation License
1004588,2501 NE 125TH ST,Application for a Tenant Relocation License
1004587,2403 1ST AVE N,Application for a Tenant Relocation License
1004586,4348 S HENDERSON ST,illegal use
1004585,4754 19TH AVE NE,inspection shows several housing code violations.
1004584,7003 MARY AVE NW,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING (VIOLATION OF HOME OCCUPATION STANDARDS)
1004583,1920 33RD AVE S,Observed land use code violation
1004582,9702 8TH AVE NE,NEW ROOF TRUSSES NEED PERMIT
1004581,9360 54TH AVE S,parking
1004580,9356 54TH AVE S,parking
1004579,9370 54TH AVE S,parking
1004578,1922 S STEVENS ST,Observed land use code violations
1004577,6719 18TH AVE SW,"outdoor junk storage, warning sent 2/25, due 3/15."
1004576,8701 15TH AVE NW,OBSERVED DISCARDED TV IN REAR YARD THAT WAS IN SAME AREA DURING 1/19/05 INSPECTION.
1004575,8306 WABASH AVE S,outdoor storage
1004574,7502 1ST AVE NE,Bush encroaching sidewalk.
1004572,2612 S GRAND ST,Observed violation of weeds and vegetation ordinance.
1004571,3405 NE 84TH ST,Inop veh in side yard.
1004472,10544 MIDVALE AVE N,"10 cars, 2 boats in yard"
1004570,3428 NW 64TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (SHIPPING CONTAINER IN REQUIRED FRONT YARD AND DRIVEWAY).
1004569,209 N 39TH ST,10 unit apt. bldg
1004567,2105 SUNSET AVE SW,"Violation of the State Environmental Policy Act (SEPA) found: cutting trees in Steep Slope, Known Slide and Potential Slide Areas requires a Tree & Vegetation Removal Permit from DPD."
1004566,7001 42ND AVE S,Verified power has been off since 10/04.
1004565,2939 S MOUNT BAKER BLVD,Observed land use code violation.
1004564,2111 E TERRACE ST,Observed LU violations. Outdoor junk storage; took photos.
1004563,5221 44TH AVE SW,Violation of Land Use Code.
1004562,711 NW 100TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (AUTO TIRES AND DEBRIS ON VACANT LOT).
1004561,1018 W CROCKETT ST,observed zoning violation
1004560,3050 35TH AVE W,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (INOPERABLE VEHICLE IN REAR YARD).
1004559,5935 28TH AVE S,2/24/05: Voluntary Compliance - Temporary Erosion and Sedimentation Control (TESC) measures in place per Permit 748262.
1004558,5500 12TH AVE NE,vegetation encroaching onto sidewalk- left warning at property
1004557,3908 25TH AVE S,LARGE TREE (MORE THAN 6 INCH CALIPER) REMOVED W/O PERMIT
1004556,5284 44TH AVE SW,Violation of Land Use Code.
1004555,7515 SUNNYSIDE AVE N,observed vegetation violation- gave warning to kate- occupant
1004554,1103 26TH AVE S,Zoning violations; including junk storage and parking.
1004553,5812 8TH AVE NW,"inspection shows violation of zoning code, boat in required side yard."
1004552,4111 WHITMAN AVE N,advisory inspection condo conversion
1004551,1227 S JACKSON ST,Observed vegetation over the sidewalk. Took photos.
1004550,3802 19TH AVE SW,This is a duplicate of Case #1004590.
1004549,633 W EMERSON ST,Observe what appears to be four units; research needed to determine number of permitted units.
1004548,4612 S ORCAS ST,Observed LU Code violation.
1004547,6007 48TH AVE SW,Permit never obtained for deck in the back and interior remodel.
1004546,6005 48TH AVE SW,The portion of the addition that was encroaching into the required side yard has been removed as of 9/20/06. Permit 6099204 issued 7/7/06 for work originally performed without a permit.
1004545,318 26TH AVE S,"Observed discarded salvageable material,inop vehicle on premises.Tk pxs."
1004544,3632 45TH AVE SW,Minor violation of Land Use Code.
1004542,6544 16TH AVE NE,Vegetation obstructing sidewalk.
1004541,6542 16TH AVE NE,Small tree encroaching sidewalk.
1004540,8626 FAUNTLEROY WAY SW,"VEG OVERGROWTH on & over sidewalk. Issued warning, due 3/1/05"
1004539,2655 8TH AVE W,REMODELING GARAGE REQUIRES PERMIT
1004538,4673 NE 89TH ST,INSPECTOR ASKED CONTRACTOR FIRST TO VERIFY THE HEIGHT OF 1ST STORY AND LATER TO VERIFY THE TOTAL BUILDING HEIGHT BY SURVEY
1004537,3935 S AMERICUS ST,Observed hbmc violation.
1004536,545 28TH AVE,"Observed land use violations;discarded appliances,inop vehicles,junk."
1004535,2330 2ND AVE,zoning violation
1004534,5050 DELRIDGE WAY SW,Violation of Land Use Code.
1004533,1520 37TH AVE,Observed large blue hot tub on the front porch.
1004532,1123 18TH AVE,"Open garage in alley behind house, garage has a vehicle w/open door - full of stuff. Garage is full of old furniture couches and sofas and mattresses.  May be a shelter for a transient person.  Older red Mazda w/flat and low tires, Wash lic.#IHG 631, expired tabs 10/'88 parked inside garage. Red Subaru Wash.lic#478HIF expired 10-'98 tabs, parked in front of garage, blocks second garage door."
1004531,2008 8TH AVE N,Issuance of an Owner's Certification of Occupancy or No Displacement
1004530,3935 S AMERICUS ST,Observed hbmc violation.
1004529,3026 18TH AVE S,Fire damaged house
1004528,5317 M L KING JR WAY S,Outdoor storage of junk
1004527,1540 15TH AVE S,Pile of junk on the south side of the property
1004526,127 NW 85TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (JUNK STORAGE).
1004525,121 NW 85TH ST,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE. (JUNK STORAGE)
1004524,1730 TAYLOR AVE N,inspected with Tom Bradrick (in training). Observed housing and zoning violations.
1004523,454 N 34TH ST,OFFICES BUILT IN PARKING GARAGE NEED PERMITS
1004522,12320 RIVIERA PL NE,INTERIOR REMODEL REQUIRES PERMIT
1004521,2374 YALE AVE E,FRONT DECKS NEED PERMIT
1004520,225 27TH AVE E,"Replace baseboard heater in bathroom; repair, leaking and ill-fitting bathroom window, , replace tiles around faucets in bathtub, caulk bathtub enclosure; finish toilet repair, and caulk base of toilet,Repair windows in both bedrooms, clean window track in LR window; repair unsecured ceiling fan LR; provide coverings to ceiling light fixtures; seal space between cabinets and floor in kitchen."
1004519,1730 TAYLOR AVE N,inspected with Tom Bradrick (in training). Observed housing and zoning violations.
1004518,1937 45TH AVE SW,Permit 6063558 was issued 8/12/10 includes work originally performed without a permit.
1004517,3740 NE 130TH ST,REMODELING HOUSE AND GARAGE W/O PERMITS
1004516,7465 GATEWOOD RD SW,Violation found: structure built in yard (Gatewood Rd. SW side) without a permit.
1004515,2238 GILMAN DR W,"Verified thru SPU Water Credit, METER PULLED-No Water to Duplex"
1004514,752 BELLEVUE AVE E,"Property is managed by Pacific Crest Prop.Mngmnt 812-9150, Tim Caford - Observed evidence of water damage in bedroom, ceiling has water drops, condensation acculation and mpld is evident in the closet, bathroom and bedroom ceiling - also evident on tenants clothing stored in closet."
1004513,6027 8TH AVE NE,
1004512,1117 M L KING JR WAY,observed discarded matteresses in rear yard. Took photos.
1004511,409 NW 60TH ST,"observed floodlight on east side of house- not dark but can see that light is directed toward adjacent properties- spoke w/ tenant, Emily. spoke on phone w/ owner- John Jewitt- he will correct w/in 2 wks"
1004510,10400 LAKE CITY WAY NE,Violation found: cutting trees in a Steep Slope Environmentally Critical Area (ECA) requires a permit from DPD. Stop Work Order posted 2/15/05.
1004509,2612 WARREN AVE N,inspection shows oversized arbor on the access through the required front yard. violation of land use code 23.44.014.
1004508,2425 E LYNN ST,"Observed White RV parked parallel to alley on rear property line.  Vegetation overgrowth around, appears not to have been moved for some time, consider it as outdoor storage, may or may not be operable, w/, expired Wash State tabs 720 CDP '99.  Yard waste in bags, styrofoam debris, glass and pipe stored next to shed, south side, refrigerator is stored in the rear yard next to RV."
1004507,2108 S BENNETT ST,"junk storage,inop"
1004506,2108 S BENNETT ST,hbmc violations
1004505,5635 S BANGOR ST,weeds
1004504,362 PROSPECT ST,inspection shows outdoor junk storage in driveway and planting strip.
1004503,1508 16TH AVE,OBSERVED SEVERAL HOUSING VIOLATIONS.
1004502,2401 E HOWELL ST,Observed vegetation over the alley; took photos.
1004501,1515 N 38TH ST,observed vegetation violation
1004500,2217 3RD AVE,no street side transperency
1004499,8815 DELRIDGE WAY SW,Application for a Tenant Relocation License
1004498,300 NE NORTHGATE WAY,cars entering and exiting through exit intended only for entering from ngate way. Exiting is for AAD vehichles only.
1004497,4116 PALATINE AVE N,observd zoning violations- Inspected with Tom B
1004496,1113 NW 57TH ST,OBSERVED VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE AND THE SEATTLE LAND USE AND ZONING CODE.
1004495,1113 NW 57TH ST,OBSERVED VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE AND THE SEATTLE LAND USE AND ZONING CODE.
1004494,1113 NW 57TH ST,OBSERVED VIOLATIONS OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE AND THE SEATTLE LAND USE AND ZONING CODE.
1004493,2603 3RD AVE,transparency zoning violation
1004492,10821 55TH AVE S,"junk storage,inops,parking"
1004491,816 NE 120TH ST,This was a training case. No complaint was made.
1004490,3730 S BURNS ST,junk storage
1004489,6722 51ST AVE S,weeds
1004488,1941 8TH AVE W,duplex on site without duplex use zoning violation
