id,case_type,description,case_group
24033,CITATION,Violation of Weeds & Veg Ordinance- Observed vegetation obstructing the sidewalk on Rainier AVE S,WEEDS AND VEGETATION
24034,HOUSING / ZONING,"Inspected property, observed violation of Land Use Code.",ZONING
24035,HOUSING / ZONING,JR inspected the property and observed a violation of the land use code (junk storage).,ZONING
24036,HOUSING / ZONING,"Inspected property, violation of Housing Building and Maintenance observed. Issuing a 48hr Emergency Order to repair leak.PR",HOUSING
24037,CONSTRUCTION,Permit 6151053 issued 8/21/07 for work originally started without a permit.,BUILDING
24038,CITATION,Violation of the Land Use & Zoning Code.,ZONING
24039,CONSTRUCTION,Grading and constructing retaining walls in Steep Slope and Potential Slide ECAs requires permit and inspections from DPD. STOP WORK ORDER posted 8/16/07.,BUILDING
24040,CONSTRUCTION,Permit 6150866 was issued 10/29/07 for work originally started without a permit.,BUILDING
24041,UNFIT BUILDING OR PREMISES,unfit bldg- single family residence,HOUSING
24042,UNFIT BUILDING OR PREMISES,Unfit building. Fee paid references 1013188.,HOUSING
24043,CITATION,Violation of Weeds & Veg Ordinance- Observed vegetation encroaching into the alley,WEEDS AND VEGETATION
24044,CONSTRUCTION,Addition in the required front yard (built without a permit) has been removed.,BUILDING
24045,CONSTRUCTION,Permit 6152606 was issued 10/4/07 and Permit 6156017 was issued 10/3/07 for work originally started without permits.,BUILDING
24046,CONSTRUCTION,Constructing retaining wall(s) in a Steep Slope & Potential Slide requires a permit & inspections from DPD or removal with permit & inspections from DPD. STOP WORK ORDER posted 8/16/07.,BUILDING
24047,HOUSING / ZONING,Bldg. secure with no open windows or doors.  Hole in roof; veg. overgrowth,VACANT BUILDING
24048,HOUSING / ZONING,illegal 3rd unit in duplex,ZONING
24049,HOUSING / ZONING,Existing duplex must be changed back into a SFR as per Permit #748600.,ZONING
24050,HOUSING / ZONING,No Water,HOUSING
24051,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24052,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24053,CITATION,A laurel hedge that constitutes a safety hazard.,WEEDS AND VEGETATION
24054,HOUSING / ZONING,"Inspected rear warehouse/storage area- owners have boxes piled up to 15 ft high in front part-garage type roll-up door as main entry, small man door.  Observed speakers and other band equipment on raised area - owners have moved boxes from north part of area and decorated floor with neon green paint- says he is moving boxes there - looks like a large cleared area for patrons to dance.",ZONING
24055,CITATION,"Violation of the vegetation code, large pile of vegetation in yard.",WEEDS AND VEGETATION
24056,CONSTRUCTION,PERMIT REQUIRED FOR REMODEL,BUILDING
24057,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along 32ND AVE SW and obstructing the alleyway between 32ND and 31ST Avenues SW.,WEEDS AND VEGETATION
24058,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalks along 17th Ave SW and SW Brandon St.,WEEDS AND VEGETATION
24059,CITATION,JR inspected property and observed weeds and/or vegetation obstructing the sidewalk and triangle of sight.,WEEDS AND VEGETATION
24060,CITATION,Violation of the Weed & Veg Ordinance.,WEEDS AND VEGETATION
24061,HOUSING / ZONING,OBSERVED VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE ( MISSING PEEP-HOLE & INTERIOR KEY CYLINDER ON BASEMENT ENTRY DOOR).,HOUSING
24062,HOUSING / ZONING,OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (ESTABLISHED ADU IS NOT OWNER OCCUPIED).,ZONING
24063,HOUSING / ZONING,KB inspected property and Housing Code violations exist.,HOUSING
24064,HOUSING / ZONING,JR inspected the property and observed junk storage on the premises.,ZONING
24065,CITATION,VIOLATION OF THE WEED & VEGETATION ORDINANCE,WEEDS AND VEGETATION
24066,HOUSING / ZONING,Permit condition violation,ZONING
24067,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the side walk along Renton Ave S.,WEEDS AND VEGETATION
24068,HOUSING / ZONING,Violation of HBMC,HOUSING
24069,CITATION,Violation of Weed & Veg Ordinance.,WEEDS AND VEGETATION
24070,CITATION,Violation of the Weed & Vegetation Ordinance.,WEEDS AND VEGETATION
24071,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
24072,HOUSING / ZONING,JR inspected the property and observed Junk storage in the rear (east) of the property.,ZONING
24073,CONSTRUCTION,THIS TYPE OF SIGN IS PROHIBITED--REMOVE SIGN,SIGNS
24074,HOUSING / ZONING,I meet with owner and he said that there are to units in his house.  I was not able to go in the house.,ZONING
24075,CITATION,A pile of vegetation in the planting strip.,WEEDS AND VEGETATION
24076,CONSTRUCTION,"REMOVE SIGNS OR RESECURE ALL GUY WIRES WITH NEW WIRE, OR PROVIDE ENGINEERS REPORT STATING NO HAZARD",SIGNS
24077,CONDO CONVERSION AND PRESALE,Condo Conversion.,CONDO/COOP CONVERSION
24078,TENANT RELOCATION ORDINANCE,Certification of No Displacement for planned demolition of single family residence.,
24079,CONSTRUCTION,OBTAIN PERMIT FOR SIGN OR REMOVE IT,SIGNS
24080,HOUSING / ZONING,OBSERVED EVIDENCE OF HOUSING CODE VIOLATION(RAW SEWAGE AROUND NORTH SEWER LINE.,HOUSING
24081,CONDO CONVERSION AND PRESALE,Condo Conversion.,CONDO/COOP CONVERSION
24082,CITATION,"OBSERVED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE (AUTO TIRES, MATTRESS APPLIANCE AND OTHER JUNK STORAGE IN YARDS).",ZONING
24083,CITATION,Continued use of the property to run a landscaping business out of and outdoor storage issues.,ZONING
24084,CITATION,Continued use of the property to run a landscaping business out of and outdoor storage issues.,ZONING
24085,HOUSING / ZONING,JR inspected the property and observed the storage of junk in the east side of the lot.,ZONING
24086,HOUSING / ZONING,JR inspected the property and observed storage and/or parking of inoperable vehicles in the required rear yard and corresponding alley way.,ZONING
24087,CONSTRUCTION,"Permit & inspections never obtained to construct mezzanine,  stage, rebuild stairs & change portion from storage to retail in  Atlas Clothing Company (1515 Broadway).",BUILDING
24088,CONSTRUCTION,Permit 6141395 was issued 8/13/07 for repairing a fire damaged building.,BUILDING
24089,CONSTRUCTION,Permit 6150914 was issued 9/21/07 and received final approval from DPD on 1/31/08 for work originally started without a permit.,BUILDING
24090,HOUSING / ZONING,Inspection shows Land Use has not been established. Zoning Violation,ZONING
24091,VACANT BUILDING MONITORING,Unsecured house & garage; veg. overgrowth & outdoor storage.,VACANT BUILDING
24092,CITATION,Violation of the Land Use & Zoning Code.,ZONING
24093,HOUSING / ZONING,CONFIRMED VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE.(ILLUGAL USE OF SFR AS A LODGING USE).,ZONING
24094,CONSTRUCTION,8/14/08 Agreement & Guaranty signed requiring demonstrating the trees were not permanently damaged for at least 5 years from the time occupancy was approved for Permit 6127885 or 4/24/14.,BUILDING
24095,CITATION,"Inspection shows outdoor junk storage such as but not limited to cardboard, windows, washer, buckets, boxes and other debris.  Zoning violation.",ZONING
24096,VACANT BUILDING MONITORING,"Access limited by tall vegetation & fencing, sidewalks impeded by vegetation overgrowth.",VACANT BUILDING
24097,HOUSING / ZONING,Holes in ceiling need repaired.,HOUSING
24098,TENANT RELOCATION ORDINANCE,No Displacement Certification,
24099,CONSTRUCTION,"Constructing a deck, building a shed larger than 120 sq.ft. and performing an interior remodel including creating a 2nd dwelling unit in a SFR requires permits and inspections from DPD.",BUILDING
24100,HOUSING / ZONING,"Inspected property, observed violation of Housing Building and Maintenance Code. Pr",HOUSING
24101,CONSTRUCTION,PERMIT REQUIRED TO BUILD RETAINING WALL ON STEEP SLOPE (ECA),BUILDING
24102,CITATION,"OBSERVED VIOLATIONS OF THE SEATTLE LAND USE AND ZONING CODE (SCRAP WOOD, REFRIGERATOR, TOILET, AND VEHICLES WITH FLAT TIRES IN YARD).",ZONING
24103,CONSTRUCTION,Permit 6155327 was issued 9/26/07 and received final approval on 10/5/07 for work originally started without a permit.,ELECTRICAL
24104,CONSTRUCTION,NEW DOOR DOES NOT COMPLY WITH CODE--BUILDER WILL CHANGE DOOR,BUILDING
24105,HOUSING / ZONING,KB inspected unit and Land Use violations exist-illegal detached dwelling-SF zone,ZONING
24106,CONSTRUCTION,Side Sewer Permit 6180127 was issued on 5/7/08 and received final approval on 11/12/09 for work originally started without a permit and inspections.,SITE
24107,CITATION,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVER GROWTH OBSTRUCTING PUBLIC USE THE SIDEWALKS ALONG 13TH AVENUE S. AND ALONG S. ANGELINE ST.),WEEDS AND VEGETATION
24108,CITATION,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVER GROWTH OBSTRUCTING PUBLIC USE THE SIDEWALK ALONG 15TH AVENUE S.),WEEDS AND VEGETATION
24109,HOUSING / ZONING,KB inspected unit and Housing Code violations exist,HOUSING
24110,CITATION,OBSERVED VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE (OVER GROWTH OBSTRUCTING PUBLIC USE OF S. HINDS STREET),WEEDS AND VEGETATION
24111,CONSTRUCTION,RETAINING WALL REQUIRES ENGINEERING AND A BUILDING PERMIT,BUILDING
24112,HOUSING / ZONING,Inspected property and conducted internet research. Land Use Code violation determined. PR,ZONING
24113,CITATION,JR inspected the property in question and observed weeds and/or vegetation obstructing the alleyway between 44th and 45th Avenues South.,WEEDS AND VEGETATION
24114,HOUSING / ZONING,Land Use Code Violation,ZONING
24115,CONSTRUCTION,Permit 6150100 was issued 8/14/07 and Permit 6151191 was issued 8/22/07 for work originally performed without permits.,BUILDING
24116,HOUSING / ZONING,KB inspected property and Land Use violation exists.  Rocks in R/W and Junk Storage.,ZONING
24117,CONSTRUCTION,Permit 6149649 was issued on 8/8/07 for work originally started without a permit.,BUILDING
24118,CONSTRUCTION,"MET WITH OWNER, GEOTECH AND BUILDING INSPECTOR WARREN PARKER ON SITE--THE EXCAVATION APPEARS TO BE PER PLAN--PLAN SHOWS A 1 TO 1 STUCTURAL CONCRETE WALL/SLAB AT 45 DEGREE ANGLE THAT MUST BE EXCAVATED AT 1 TO 1--RECEIVED GEOTECHNICAL REPORT--SITE LOOKS GOOD",BUILDING
24119,CONSTRUCTION,Permit 6218250 was issued on 6/9/09 and received final approval on 9/21/09 for work originally started without a permit and inspections.,BUILDING
24120,CONSTRUCTION,IT IS UNCLEAR THAT ANY RECENT TREE CUTTING IN ECA HAS OCCURRED,BUILDING
24121,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24122,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24123,CITATION,Minor vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24124,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24125,CITATION,Inspection shows vegetation encroaching onto the sidewalk and debris over the area.,WEEDS AND VEGETATION
24126,CITATION,A couch on the planting strip.,ZONING
24127,TENANT RELOCATION ORDINANCE,Issuance of an Owner's Certification of Occupancy or No Displacement,
24128,CITATION,"Inspected property, observed violation of Weeds and Vegetation Ordinance.PR",WEEDS AND VEGETATION
24129,HOUSING / ZONING,"East bldg. entry door & attached shed unsecured; outdoor storage, veg. overgrowth.",VACANT BUILDING
24130,CONSTRUCTION,APPEARS TO HAVE SUBSTANTIAL DRY ROT OF GLB AND INTERIOR--SUBMIT REPORT BY STRUCTURAL ENGINEER TO EVALUATE AND RECOMMEND REPAIR OF DRY ROT--OBTAIN PERMITS FOR REPAIR,BUILDING
24131,CITATION,"Verified vegetation encroaching on both sides of the sidewalk and left door hanger to call me.  Some progress, but more needed.",WEEDS AND VEGETATION
24132,CONSTRUCTION,PERMIT REQUIRED TO CONVERT GARAGE TO LIVABLE SPACE--STOP WORK POSTED,BUILDING
24133,CONSTRUCTION,CONTRACTOR WILL INSTALL EROSION CONTROL MEASURES,SITE
24134,CITATION,Violation of the Land Use & Zoning Code.,ZONING
24135,CONSTRUCTION,COVER VERTICAL CUT ALONG UPPER ROADWAY--COVER SIDES OF QUARRY SPALL PLATFORM--INSTALL FILTER FENCE AT TOE OF SLOPE--HAVE ENOUGH COVERING MATERIAL ON SITE TO COVER BALANCE OF SITE IF NECESSARY,SITE
24136,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
24137,CONSTRUCTION,"Permit 6150619 was issued 10/8/07 and received final approval on 2/18/09 for construction of decks, including roof decks & exterior stairs originally started without a permit.",BUILDING
24138,CONSTRUCTION,Permit 6145467 (924 25th Ave) was issued 8/8/07 and received final approval on 8/27/07 for work originally started without a permit.,BUILDING
24139,CONSTRUCTION,FINAL INSPECTION AND CERTIFICATE OF OCCUPANCY ARE NEEDED,BUILDING
24140,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
24141,CITATION,Inspection shows outdoor junk storage.  Zoning violation,ZONING
24142,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
24143,CITATION,"Investigated property, violation of Weeds and Vegetation Ordinance observed.PR",WEEDS AND VEGETATION
24144,CONSTRUCTION,Permit 6164256 was issued 12/31/07 for work originally started without a permit. This case will remain open until all required inspections have been requested & approved.,BUILDING
24145,CITATION,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalks along 19th ave sw and sw charlestown st.,WEEDS AND VEGETATION
24146,CONSTRUCTION,DECK AT TOP LEVEL ON EAST CORNER IS NOT BUILT PER PLAN--DECK PERMIMETER NEEDS TO BE FLUSH WITH WALLS BELOW,BUILDING
24147,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24148,CITATION,Weeds and Vegetation Violation,WEEDS AND VEGETATION
24149,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
24150,CITATION,"JR inspected the property and observed a violation of the land use code, (junk storage).",ZONING
24151,CONDO CONVERSION AND PRESALE,Condo Conversion.,CONDO/COOP CONVERSION
24152,CITATION,Outdoor storage. No activity in the RV. I talked with the owner and discussed the cities rules concerning RV usage.,ZONING
24153,CITATION,Inop vehicle in parking area.,ZONING
24154,HOUSING / ZONING,"Unsecured windows on all levels, outdoor storage, 1 vehicle, veg. overgrowth.",VACANT BUILDING
24155,CONSTRUCTION,PERMIT REQUIRED FOR ADDITION AT WEST SIDE OF HOUSE,BUILDING
24156,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 5; total units occupied: 3.  Demolition.,
24157,CONSTRUCTION,Permit 6149733 was issued 8/9/07 and received final approval 2/6/09 for work originally started without a permit.,BUILDING
24158,HOUSING / ZONING,Inspection shows unauthorized dwelling units.  Land Use violation,ZONING
24159,CITATION,Violation of Weeds & Veg Ordinance- Observed vegetation encroaching into sidewalk at east side.,WEEDS AND VEGETATION
24160,HOUSING / ZONING,"Inspected property, observed violation of Land Use Code and Weeds and Vegetation Ordinance.PR",ZONING
24161,HOUSING / ZONING,Open to entry in various locations; outdoor storage; veg. overgrowth.,VACANT BUILDING
24162,CITATION,"Violations of Weeds & Land Use- Observed vegetation encroaching into sidewalk at Wabash AVE S, and junk storage such as cabinets, copy machine, boxes, and other debris on planting strip on Wabash AVE S",ZONING
24163,CONSTRUCTION,Cutting all of the trees on a vacant lot with an unmapped Steep Slope ECA requires review and approval by DPD.,OTHER CONSTRUCTION
24164,TENANT RELOCATION ORDINANCE,Application for Tenant Relocation License. Total units: 1; total units occupied: 1. Demolition.,
24165,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 3; total units occupied: 3.  Demolition.,
24166,HOUSING / ZONING,JR inspected the property and observed weeds and/or vegetation obstructing the sidewalk along Delridge way sw.,
24167,HOUSING / ZONING,PERMIT 6140245 (COMPLETE & FINAL INSPECTION FOR DECK ADDITION TO DUPLEX)WAS ISSUED.PROPERTY WAS SOLD TO NEW OWNER WITHOUT FINAL INSPECTION AND APPROVAL. NEW OWNER WILL BE CITED.,ZONING
24168,CONSTRUCTION,PERMIT REQUIRED FOR INTERIOR DEMOLITION,BUILDING
24169,CONSTRUCTION,Permit 6151197 issued 8/22/07 for work originally started without a permit.,BUILDING
24170,CITATION,"Inspected property, observed violation of Land Use Code and Weeds and Vegetation Ordinance.PR",WEEDS AND VEGETATION
24171,HOUSING / ZONING,Violation of the Just Cause Eviction Ordinance,JUST CAUSE EVICTION
24172,CONSTRUCTION,PERMIT IS REQUIRED FOR RECONSTRUCTING DETACHED GARAGE  (PREVIOUS GARAGE HAS BEEN DEMOLISHED),BUILDING
24173,CONSTRUCTION,CARPORT AND STORAGE ROOM BUILT IN FRONT YARD ARE NOT ON THE APPROVED PLANS FOR PERMIT #6114753,BUILDING
24174,HOUSING / ZONING,VB Secure but 3 vehicles in side yard.,VACANT BUILDING
24175,CONSTRUCTION,PERMIT REQUIRED FOR ADDITION,BUILDING
